Name,Address,Rating,Phone Number,Website,Industry
Luna Luna - Buffet Restaurant & Bar,"Ground Level, Kailash Heights, Andheri - Kurla Rd, next to 1 Aerocity, Mayfair Industrial Area, Safed Pul, Saki Naka, Mumbai, Maharashtra 400072, India",4.9,N/A,N/A,"restaurant, food, point_of_interest, establishment"
MUMBAI RESTAURANT,"NEAR, SHOP NO 2, GADEKAR COLONY, Saki Naka, Mumbai, Maharashtra 400072, India",4.3,082818 40001,N/A,"restaurant, food, point_of_interest, establishment"
BALWAS RESTAURANT I Andheri (Marol),"Naka Metro station, Marol Maroshi Rd, Bori Colony, Marol, Andheri East, Mumbai, Maharashtra 400059, India",4.8,098330 22244,N/A,"restaurant, food, point_of_interest, establishment"
TUSKERS - VEGETARIAN DINING BAR,"C 57, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051, India",4.3,091673 91130,https://sofitel.accor.com/en/hotels/6451/R005.restaurant.html,"restaurant, food, point_of_interest, establishment"
Mehfooz Restaurant,"4V2Q+XJJ, Andheri - Ghatkopar Link Rd, Lokmanya Tilak Nagar, Saki Naka, Mumbai, Maharashtra 400072, India",4.7,N/A,N/A,"restaurant, food, point_of_interest, establishment"
Supreme Spice Rooftop Quarter Deck,"54, Chandivali Farm Rd, Hillside Cooperative Society, Chandivali, Powai, Mumbai, Maharashtra 400072, India",4.6,N/A,N/A,"restaurant, food, point_of_interest, establishment"
Oh! Calcutta (Cloud Kitchen),"41, National House, Saki Vihar Rd, opp. Ansal ""A"" Bldg, Ganesh Nagar, Marol, Powai, Mumbai, Maharashtra 400072, India",4.3,093249 42118,https://www.speciality.co.in/,"restaurant, food, point_of_interest, establishment"
Zorka Mezze Grill - Powai,"Shop No - LXC - B 1/1, Jai Hind Asso, Saki Vihar Rd, opp. Nirali Hospital, Tunga, Budhia Jadhav Wadi, Chandivali, Andheri East, Mumbai, Maharashtra 400072, India",3.8,095189 83620,N/A,"restaurant, food, point_of_interest, establishment"
Welcome Restaurant,"6, Shastri Nagar Rd, Kolivery Village, Shastri Nagar, Kalina, Santacruz East, Mumbai, Maharashtra 400029, India",4.8,N/A,N/A,"restaurant, food, point_of_interest, establishment"
The Great Wall - Chinese Speciality Restaurant,"The Leela, Sahar Road, Andheri - Kurla Rd, Mariyyman Nagar, Greater Indra Nagar, Andheri East, Andheri, Maharashtra 400069, India",4.4,022 6691 1347,https://www.theleela.com/the-leela-mumbai/restaurants/the-great-wall/,"restaurant, food, point_of_interest, establishment"
Famous Restaurant,"bus stop, Famous restaurant, near Udipi hotel, tilak nagar, sakinaka, Andheri East, Mumbai, Maharashtra 400072, India",4.9,N/A,N/A,"restaurant, food, point_of_interest, establishment"
AL Karim Restaurant,"5A, Edmund Compound, Khairani Rd, opposite मदीना रेस्टोरेंट, Nair Wadi, Saki Naka, Mumbai, Maharashtra 400072, India",4.7,N/A,N/A,"restaurant, food, point_of_interest, establishment"
National restaurant,"Makwana Rd, Sankasth Pada Welfare Society, Marol, Andheri East, Mumbai, Maharashtra 400059, India",5.0,N/A,N/A,"restaurant, food, point_of_interest, establishment"
The Great Indian Appetizers,"Shop No.17 Building No. 12, Mahada, near Lake Bloom Residency, Vidya Milind Nagar, Milind Nagar, Marol, Powai, Solarish, Mumbai, Maharashtra 400072, India",5.0,079052 18808,N/A,"restaurant, food, point_of_interest, establishment"
The Punjabi Fusion,"Hetal Desai, Floral Deck Plaza, B 408, Subhash Nagar Rd, near mayur xerox, M.I.D.C, Santacruz Electronic Export Processing Zone, Andheri East, Mumbai, Maharashtra 400093, India",4.1,098214 17626,N/A,"restaurant, food, point_of_interest, establishment"
The Masque Lab,"Gala 2, Shree Laxmi Woollen Mills end of, Shakti Mills Ln, off Dr. E. Moses Road, Mahalakshmi, Mumbai, Maharashtra 400011, India",4.8,098190 69222,https://www.masquerestaurant.com/about-the-lab,"restaurant, food, point_of_interest, establishment"
Cafe Hamdan-Chinese restaurant in marol North Indian Restaurant in Marol-Biriyani Shop In Marol-Muglai Restaurant In Marol,"Shop No B6, 7, Marol Maroshi Rd, Bhavani Nagar, Marol, Andheri East, Mumbai, Maharashtra 400059, India",3.7,077009 80059,N/A,"restaurant, food, point_of_interest, establishment"
Vidith's House of Food,"Shop No, 1, Chandivali Farm Rd, next to ICICI Bank, Hillside Cooperative Society, Yadav Nagar, Chandivali, Powai, Mumbai, Maharashtra 400072, India",3.7,022 2857 1145,N/A,"restaurant, food, point_of_interest, establishment"
Pots 56 Restaurant,"Shop No. 200, Galleria Shopping Mall, Hiranandani Gardens, Panchkutir Ganesh Nagar, Powai, Mumbai, Maharashtra 400076, India",5.0,N/A,N/A,"restaurant, food, point_of_interest, establishment"
Ally Bay,"Nahar Amrit Shakti, Chandivali, Powai, Mumbai, Maharashtra 400072, India",4.7,N/A,http://www.aurumfoods.co.in/,"restaurant, food, point_of_interest, establishment"
Lotus Restaurant,"76, Saki Vihar Rd, near L&T gate no. 5, Vidya Milind Nagar, Budhia Jadhav Wadi, Marol, Andheri East, Mumbai, Maharashtra 400076, India",3.6,N/A,N/A,"restaurant, food, point_of_interest, establishment"
Trendz,"The Lalit Hotel, Sahar Airport Road, Mumbai, Maharashtra 400059, India",4.6,022 6104 3131,http://www.thelalit.com/the-lalit-mumbai/eat-and-drink/trendz/,"restaurant, food, point_of_interest, establishment"
Tavas Restaurant,"Boomrang Club House, Kanakia Boomrang Chandivali Farm Road, Powai, Andheri East, Mumbai, Maharashtra 400072, India",3.0,072050 06999,N/A,"restaurant, food, point_of_interest, establishment"
China Town,"Shop n, 1, MHADA Colony, Milind Nagar, Signal, Mumbai, Maharashtra 400072, India",4.0,093073 21487,N/A,"meal_takeaway, restaurant, food, point_of_interest, establishment"
Speciality Restaurants Ltd.,"Shop No.126, Galleria Shopping Complex, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076, India",3.5,022 4026 2400,https://www.speciality.co.in/,"restaurant, food, point_of_interest, establishment"
Bamboo Kitchen,"1, Andheri - Ghatkopar Link Rd, Bandi Bazaar, Nair Wadi, Saki Naka, Mumbai, Maharashtra 400072, India",5.0,N/A,N/A,"restaurant, food, point_of_interest, establishment"
The White Barn,"Waterstones Club International, Approach Road, off International Airport, Navpada, Marol, Andheri East, Mumbai, Maharashtra 400059, India",3.9,022 4090 6644,http://www.waterstonesclub.com/,"cafe, store, restaurant, food, point_of_interest, establishment"
Indian Kebab Grill & Bar,"Chhatrapati Shivaji International Airport (BOM), Terminal 2, International Departure, After Security Check,, Chhatrapati Shivaji Maharaj Int'l Airport Rd, Vile Parle, Mumbai, Maharashtra, India",4.0,N/A,N/A,"bar, restaurant, food, point_of_interest, establishment"
Sandeep Restaurant,"Shop No 111, Plot No 3, Tata Colony, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051, India",5.0,063778 82008,N/A,"restaurant, food, point_of_interest, establishment"
Baba Restaurant,"A-1, Laxmi Society 90 Feet Road, Gate, opp. Lokmanya Tilak Nagar, opposite Tilak Nagar, Gokuldham Society, Satya Nagar, Sathi D Souza Nagar, Gate, Mumbai, Maharashtra 400072, India",4.7,090294 36111,N/A,"restaurant, food, point_of_interest, establishment"
Aamchi Mumbai Burger,"Shop No: 2, Crescent Business Square, Khairani Rd, opposite Andheri East, Saki Naka, Mumbai, Maharashtra 400072, India",4.2,N/A,N/A,"restaurant, food, point_of_interest, establishment"
Nirmal punjab family Restaurant,"6, Wadia Estate Rd, Bail Bajar, Kurla, Mumbai, Maharashtra 400099, India",3.8,080977 50442,N/A,"restaurant, food, point_of_interest, establishment"
Amrit Restaurant,"B28A, Ghatkopar Industrial Estate, Ghatkopar, Amrut Nagar, W, Mumbai, Maharashtra 400086, India",4.4,N/A,N/A,"restaurant, food, point_of_interest, establishment"
TAMASHAA,"Hiranandani Business Park, Unit No 5, First floor 'C' Wing, Delphi, Hiranandani Gardens, Panchkutir Ganesh Nagar, Powai, Mumbai, Maharashtra 400076, India",4.3,N/A,N/A,"restaurant, food, point_of_interest, establishment"
Al Zaika Restaurant Marol,"Gala #7, Sai baba Industrial Estate, Marol Maroshi Rd, Near State Bank, Mumbai, Maharashtra 400059, India",3.8,088281 00578,N/A,"restaurant, food, point_of_interest, establishment"
Restaurants,"Bharat Diamond Bourse, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051, India",4.5,N/A,N/A,"restaurant, food, point_of_interest, establishment"
cargo family restaurant,"shop no 1&2, business point, Rangoli Cargo Complex, Sahar Rd, next to international, Sutar Pakadi, Sahar Village, Andheri East, Mumbai, Maharashtra 400099, India",2.8,098198 10402,N/A,"restaurant, food, point_of_interest, establishment"
Paradise cuisine,"PLOT NO.273/3, VEMULKAR BUILDING, MAROL MAROSHI ROAD, OPP LOK CENTRE, NEAR SARASWAT BANK, MAROL, ANDHERI EAST, Greater, Ward-K/ E, Mumbai, Greater Mumbai, Maharashtra 400059, India",3.5,N/A,N/A,"restaurant, food, point_of_interest, establishment"
Sandeep Hotel & Bar,"F-679, Lal Bahadur Shastri Marg, Bail Bajar, Saki Naka, Mumbai, Maharashtra 400072, India",3.6,N/A,N/A,"bar, restaurant, food, point_of_interest, establishment"
Biryani Can - Pure Veg Biryanis,"Vajan Kata, Kothari Compound, J. M Marg, Khairani Baug, Sakinaka, Andheri East, Mumbai, Maharashtra 400072, India",4.4,081049 60615,https://thrivenow.in/biryani-can-sakinaka,"restaurant, food, point_of_interest, establishment"
